學年度,洲別,國別,大學校院,國防醫學院,國立臺灣師範大學僑生先修部_秋,國立臺灣師範大學僑生先修部_春,五專,高級中等學校,國中,國小
111,亞洲,緬甸,156,0,567,0,0,406,13,3
111,亞洲,柬埔寨,2,0,0,0,0,99,0,0
111,亞洲,印尼,707,2,110,0,3,1248,0,0
111,亞洲,日本,47,0,7,0,1,2,3,2
111,亞洲,約旦,1,0,0,0,0,0,0,0
111,亞洲,南韓,27,2,0,0,0,1,1,2
111,亞洲,馬來西亞,2342,4,208,111,0,50,2,2
111,亞洲,菲律賓,17,1,1,0,0,11,1,0
111,亞洲,沙烏地阿拉伯,1,0,0,0,0,0,0,0
111,亞洲,新加坡,11,0,1,0,0,0,0,0
111,亞洲,泰國,51,1,0,0,1,106,4,1
111,亞洲,越南,108,0,21,0,0,705,7,5
111,亞洲,汶萊,1,0,0,0,0,0,0,0
111,亞洲,香港,2463,1,373,0,0,0,0,0
111,亞洲,澳門,529,0,23,0,0,0,0,0
111,大洋洲,澳大利亞,6,0,0,0,0,0,0,0
111,大洋洲,斐濟,1,0,0,0,0,0,0,0
111,大洋洲,紐西蘭,2,0,0,0,0,0,0,1
111,大洋洲,帛琉,2,0,0,0,0,0,0,0
111,非洲,奈及利亞,2,0,0,0,0,0,0,0
111,非洲,南非,6,0,2,0,0,0,0,0
111,歐洲,法國,2,0,0,0,0,0,0,0
111,歐洲,荷蘭,1,0,0,0,0,0,0,0
111,歐洲,西班牙,0,0,0,0,0,1,0,0
111,歐洲,英國,1,0,0,0,0,0,0,0
111,歐洲,德國,1,0,0,0,0,0,1,0
111,美洲,加拿大,33,0,3,0,0,0,2,0
111,美洲,哥斯大黎加,1,0,0,0,0,0,1,1
111,美洲,薩爾瓦多,1,0,0,0,0,0,0,0
111,美洲,瓜地馬拉,2,0,0,0,0,0,0,0
111,美洲,宏都拉斯,1,0,0,0,0,0,0,0
111,美洲,墨西哥,1,0,0,0,0,0,0,0
111,美洲,巴拿馬,1,0,0,0,0,0,0,0
111,美洲,貝里斯,1,0,0,0,0,0,0,0
111,美洲,美國,33,1,2,0,0,6,4,7
111,美洲,阿根廷,5,0,0,0,0,0,1,0
111,美洲,巴西,9,0,2,0,0,1,2,1
111,美洲,智利,3,0,0,0,0,0,0,0
111,美洲,厄瓜多,1,0,0,0,0,0,0,0
111,美洲,巴拉圭,4,0,0,0,0,0,0,0
